ψ Tau,040700.5,+290005,5.23
  Per,040839.7,+474245,4.04
ω1Tau,040910.0,+193633,5.50
  Tau,041049.9,+262851,5.41
     ,040917.8,-162309,5.37
  Eri,041022.5,-065526,5.44
ο1Eri,041151.9,-065015,4.04
δ Hor,041050.6,-415937,4.93
μ Per,041453.9,+482434,4.14
     ,043000.1,+832026,5.46
  Per,041453.3,+402901,4.71
  Tau,041333.1,+074258,5.29
  Tau,041356.4,+091549,4.84
     ,041643.1,+533643,5.19
     ,041436.3,+100040,5.22
     ,042702.8,+804927,5.43
  Eri,041423.7,-101523,4.87
μ Tau,041532.1,+085332,4.29
     ,041814.6,+501744,4.61
ο2Eri,041516.3,-073910,4.43
α Hor,041400.1,-421740,3.86
     ,042040.3,+650826,5.27
ω2Tau,041715.6,+203443,4.94
     ,041913.3,+500256,5.45
     ,042147.6,+604408,5.39
α Ret,041425.5,-622826,3.35
γ Dor,041601.6,-512912,4.25
  Tau,041926.1,+210832,5.35
     ,041448.7,-621131,5.45
  Tau,041936.7,+214625,5.38
  Per,042024.6,+343400,4.93
γ Tau,041947.6,+153739,3.65
υ4Eri,041753.7,-334754,3.56
φ Tau,042021.3,+272103,4.95
  Per,042133.2,+462956,4.85
ε Ret,041628.9,-591807,4.44
  Tau,042036.3,+150543,5.26
     ,041916.6,-441605,5.34
     ,042039.0,-203823,5.38
χ Tau,042234.9,+253745,5.37
δ1Tau,042256.1,+173233,3.76
δ2Tau,042405.8,+172638,4.80
  Tau,042351.9,+092739,5.12
ξ Eri,042340.8,-034444,5.17
κ1Tau,042522.1,+221738,4.22
κ2Tau,042525.0,+221159,5.28
δ3Tau,042529.4,+175541,4.29
     ,042606.3,+312620,5.28
υ Tau,042618.5,+224849,4.28
  Eri,042402.2,-340101,3.96
  Tau,042620.8,+153706,4.49
η Ret,042153.3,-632311,5.24
π Tau,042636.4,+144249,4.69
  Tau,042826.4,+162135,4.97
ε Tau,042837.0,+191049,3.53
θ1Tau,042834.5,+155744,3.84
θ2Tau,042839.7,+155215,3.40
  Tau,042850.2,+130251,5.03
     ,043033.7,+161138,4.78
  Tau,043038.9,+154131,5.48
  Tau,043037.3,+134328,5.40
  Eri,043152.7,-000238,4.91
δ Cae,043050.1,-445714,5.07
ρ Tau,043350.9,+145040,4.65
  Eri,043411.6,-081353,5.11
     ,043411.7,-085813,5.26
υ1Eri,043330.6,-294600,4.51
  Per,043641.4,+411553,4.25
α Tau,043555.2,+163033,0.85
  Tau,043539.3,+100939,4.25
ν Eri,043619.1,-032109,3.93
υ2Eri,043533.0,-303344,3.82
α Dor,043359.8,-550242,3.27
  Cam,043958.1,+532823,5.35
  Cam,043954.7,+530447,5.05
     ,043713.7,+005954,5.31
  Tau,043809.5,+123039,4.27
  Eri,043736.1,-022824,5.23
σ1Tau,043909.2,+154759,5.07
σ2Tau,043916.5,+155505,4.69
     ,043906.2,+075215,5.39
  Eri,043810.8,-141814,3.87
     ,043853.6,-120723,5.01
  Tau,044003.4,+121152,5.46
     ,043919.7,-142133,5.45
     ,043645.6,-620439,5.40
  Per,044254.3,+432154,5.29
  Eri,044026.5,-194018,4.32
τ Tau,044214.7,+225725,4.28
α Cae,044033.7,-415150,4.45
β Cae,044203.5,-370840,5.05
     ,044425.8,+110846,5.40
  Cam,044800.3,+564526,5.30
λ Pic,044246.4,-502853,5.31
     ,044601.7,+114220,5.37
μ Eri,044530.1,-031517,4.02
     ,050020.7,+811138,5.07
     ,045205.2,+633019,5.44
κ Dor,044421.1,-594358,5.27
     ,044954.6,+372918,4.88
α Cam,045403.0,+662034,4.29
π3Ori,044950.4,+065741,3.19
π2Ori,045036.7,+085401,4.36
  Tau,045122.5,+185023,5.10
  Eri,045011.6,-161302,5.03
  Aur,045238.0,+364211,4.78
π4Ori,045112.4,+053618,3.69
ο1Ori,045232.0,+141502,4.74
ω Eri,045253.7,-052710,4.39
  Ori,045322.8,+023029,5.33
π5Ori,045415.1,+022626,3.72
  Cam,045717.2,+534508,4.47
  Ori,045446.9,+112534,5.19
π1Ori,045453.8,+100903,4.65
     ,045447.8,+074645,5.33
ι Aur,045659.6,+330958,2.69
ο2Ori,045622.3,+133052,4.07
     ,045722.3,+170913,5.48
ω Aur,045915.4,+375325,4.94
π6Ori,045832.9,+014251,4.47
β Cam,050325.1,+602632,4.03
ε Aur,050158.1,+434924,2.99
  Eri,045950.4,-101548,5.38
  Eri,045955.8,-123215,4.79
ζ Aur,050228.7,+410433,3.75
ψ Eri,050126.3,-071026,4.81
ι Tau,050305.7,+213524,4.64
     ,050125.6,-200307,4.91
  Cam,050608.5,+585821,5.08
     ,050209.8,-261630,5.02
η Men,045511.2,-745613,5.47
  Aur,050640.6,+513552,5.00
  Ori,050434.1,+152415,4.68
η Aur,050630.9,+411404,3.17
     ,051222.4,+735648,5.43
η1Pic,050248.6,-490905,5.38
γ1Cae,050424.4,-352900,4.55
ε Lep,050527.7,-222216,3.19
  Tau,050727.0,+183842,5.00
  Eri,050645.7,-043918,5.12
  Tau,050748.4,+202506,5.30
  Tau,050806.6,+241555,5.50
η2Pic,050458.0,-493440,5.03
  Ori,050752.9,+082954,5.34
β Eri,050751.0,-050511,2.79
  Ori,050919.6,+094946,5.43
  Eri,050843.6,-042722,5.12
ζ Dor,050530.6,-572822,4.72
  Ori,050942.0,+153550,4.82
β Men,050243.0,-711852,5.31
λ Eri,050908.8,-084515,4.27
     ,051141.6,+160244,5.18
     ,052233.5,+791352,5.05
μ Aur,051325.7,+382904,4.86
     ,050734.0,-632359,5.20
ι Lep,051217.9,-115209,4.45
ρ Ori,051317.5,+025140,4.46
μ Lep,051255.9,-161220,3.31
κ Lep,051313.9,-125629,4.36
  Aur,051524.4,+324116,5.02
α Aur,051641.4,+455953,0.08
     ,051444.1,+050922,5.50
β Ori,051432.3,-081206,0.12
     ,051815.9,+424732,5.48
     ,051524.3,-265636,5.07
  Aur,051810.7,+332218,4.54
λ Aur,051908.5,+400557,4.71
     ,051900.0,+334454,5.41
τ Ori,051736.4,-065040,3.60
     ,051740.2,-133111,5.50
  Tau,051916.6,+220547,4.94
  Aur,052000.9,+335729,5.03
ο Col,051729.1,-345343,4.83
θ Dor,051345.4,-671107,4.83
  Ori,051911.2,+023545,5.34
ρ Aur,052148.4,+414816,5.23
  Cam,052327.8,+573240,5.28
λ Lep,051934.5,-131036,4.29
ν Lep,051959.1,-121856,5.30
     ,052026.9,-211422,4.71
  Ori,052145.7,-002257,4.73
ζ Pic,051922.1,-503622,5.45
  Ori,052250.0,+033240,5.00
     ,052146.2,-244623,5.06
σ Aur,052439.2,+372308,4.99
  Tau,052425.4,+172300,4.99
  Lep,052330.2,-135538,5.25
  Ori,052356.8,-074829,4.14
  Ori,052428.9,-005329,5.08
η Ori,052428.6,-022349,3.36
ψ1Ori,052444.8,+015047,4.95
γ Ori,052507.9,+062059,1.64
β Tau,052617.5,+283627,1.65
  Cam,053010.2,+630402,5.42
φ Aur,052738.9,+342833,5.07
  Tau,052710.1,+175744,5.42
  Tau,052738.1,+215613,4.88
ψ2Ori,052650.2,+030544,4.59
  Tau,052745.6,+155227,5.50
  Tau,052916.5,+250902,5.47
β Lep,052814.7,-204534,2.84
  Ori,052944.0,-010532,4.71
λ Dor,052619.3,-585445,5.14
  Ori,053047.1,+055653,4.20
  Ori,053114.5,+031732,5.46
χ Aur,053243.7,+321131,4.76
  Tau,053212.8,+183540,4.38
     ,053214.2,+170329,5.46
δ Ori,053200.4,-001757,2.23
υ Ori,053155.8,-071805,4.62
     ,053009.5,-470440,5.46
     ,053241.3,-013531,5.35
ε Col,053112.7,-352814,3.87
α Lep,053243.8,-174920,2.58
     ,053331.4,-010922,5.34
  Ori,053416.7,+034601,5.36
  Tau,053527.1,+240222,5.38
φ1Ori,053449.2,+092922,4.41
     ,053251.3,-383047,5.48
λ Ori,053508.3,+095603,3.54
     ,053502.7,-060007,4.78
  Ori,053523.2,-045018,4.59
θ1Ori,053516.5,-052323,5.13
θ2Ori,053522.9,-052458,5.08
ι Ori,053526.0,-055436,2.77
  Ori,053539.5,-045121,5.26
ε Ori,053612.8,-011207,1.70
φ2Ori,053654.3,+091726,4.09
ζ Tau,053738.7,+210833,3.00
  Aur,053838.1,+302933,5.40
     ,053259.6,-641339,5.34
β Dor,053337.5,-622923,3.76
  Tau,053944.2,+255349,5.18
σ Ori,053844.8,-023600,3.81
ω Ori,053911.1,+040717,4.57
ν2Col,053744.6,-284122,5.31
  Ori,053853.1,-071247,4.80
  Tau,054117.7,+163202,4.86
ζ Ori,054045.5,-015634,2.05
ζ Ori,054045.6,-015634,4.21
     ,054050.6,-010744,4.95
γ Men,053152.9,-762028,5.19
α Col,053938.9,-340427,2.64
     ,053949.8,-323745,5.45
  Ori,054228.6,+012829,4.91
ο Aur,054554.0,+494935,5.47
     ,054215.1,-344004,5.29
γ Lep,054427.8,-222654,3.60
  Tau,054726.2,+174345,5.49
  Tau,054742.9,+135359,5.29
τ Aur,054910.5,+391052,4.52
μ Col,054559.9,-321823,5.17
ζ Lep,054657.3,-144919,3.55
  Ori,054800.2,+062715,5.27
  Tau,054901.0,+243403,4.86
κ Ori,054745.4,-094011,2.06
     ,054627.4,-463550,5.31
  Tau,054932.9,+123904,4.91
υ Aur,055102.4,+371820,4.74
ν Aur,055129.4,+390855,3.97
δ Dor,054446.4,-654408,4.35
β Pic,054717.1,-510359,3.85
     ,054936.5,-142901,5.49
  Cam,055457.8,+595318,5.20
ξ Aur,055450.8,+554225,4.99
  Ori,055122.0,-073105,5.35
